snapshot_ts,stop_id,route_id,route_short_name,trip_id,vehicle_id,scheduled_arrival_ts,predicted_arrival_ts,status
1773271651,1_12170,1_100039,14,1_562519879,1_4367,1773271779,-1,default
1773271651,1_70694,1_100344,986,1_829433469,1_6982,1773271860,1773271761,default
1773271651,1_55812,1_100005,106,1_727784879,1_7157,1773271808,1773271590,default
1773271651,1_970,1_100003,101,1_762101139,1_8138,1773271656,1773271674,default
1773271651,1_970,40_577,577,40_3496020,40_9728,1773271862,1773271718,default
1773271651,1_575,1_100001,1,1_562519979,1_4329,1773271800,1773271728,default
1773271651,1_575,1_102576,C Line,1_774680489,1_6266,1773271920,1773271769,default
1773271651,1_2850,1_100089,2,1_491928929,1_7128,1773272460,1773271345,default
1773271651,1_2850,1_100089,2,1_491928919,1_7975110,1773271740,1773271740,default
1773271651,1_46505,1_102619,F Line,1_694521259,1_7975997,1773271860,1773271860,default
1773271651,1_46505,1_102619,F Line,1_694521469,1_7976017,1773272460,1773272460,default
1773271651,1_29423,1_102732,79,1_561369469,1_7975557,1773271800,1773271800,default
1773271651,1_280,1_100011,111,1_664454899,1_7976601,1773271401,1773271773,default
1773271651,1_70832,1_100136,245,1_761788319,1_7465,1773271719,1773271609,default
1773271651,1_27420,1_100249,60,1_689961389,1_7030,1773271868,1773271713,default
1773271651,1_81199,1_100072,181,1_721481539,1_7446,1773271560,1773271770,default
1773271651,1_72494,1_100160,269,1_720964299,1_7976342,1773276960,1773276960,default
1773271651,1_73953,1_102704,250,1_720962559,1_7247,1773275576,1773275512,default
1773271651,1_52306,1_102619,F Line,1_694522209,1_7976035,1773275700,1773275700,default
1773271651,1_52306,1_102719,161,1_664467879,1_7976132,1773276060,1773276060,default
1773271651,1_52306,1_102619,F Line,1_694521479,1_7975997,1773276600,1773276600,default
1773271651,1_58112,1_100045,150,1_762102449,1_8172,1773275050,1773275582,default
1773271651,1_71970,1_102753,222,1_774817949,1_7460,1773275602,1773275624,default
1773271651,1_49350,1_100026,128,1_651742909,1_7313,1773275557,1773275641,default
1773271651,1_2200,1_100089,2,1_772359489,1_7193,1773275246,1773275617,default
1773271651,1_59282,1_102717,165,1_664465509,1_7190,1773276060,1773274663,default
1773271651,1_85531,1_102757,187,1_762095149,1_7016,1773275580,1773275700,default
1773271651,1_620,40_510,510,40_15046612__KPOB-CS:223:1:Mon-Wed:1:25SEP:85084:123,40_KPOB-CS:223:1:Mon-Wed:1:25SEP:85084:123,1773276300,1773276011,default
1773271651,1_620,40_100240,554,40_774872599,40_9646,1773276240,1773276061,default
1773271651,1_620,40_515,515,40_15046338__KPOB-CS:223:1:Mon-Wed:1:25SEP:85052:123,40_KPOB-CS:223:1:Mon-Wed:1:25SEP:85052:123,1773276000,1773276163,default
1773271651,1_620,1_102754,256,1_778603739,1_7976728,1773276300,1773276300,default
1773271651,1_620,40_100239,550,40_597760059,40_9667,1773275820,1773276302,default
1773271651,1_620,40_510,510,40_15046553__KPOB-CS:223:1:Mon-Wed:1:25SEP:85085:123,40_KPOB-CS:223:1:Mon-Wed:1:25SEP:85085:123,1773277500,1773276638,default
1773271651,1_620,40_515,515,40_15046524__KPOB-CS:223:1:Mon-Wed:1:25SEP:85062:123,40_KPOB-CS:223:1:Mon-Wed:1:25SEP:85062:123,1773277200,1773277200,default
1773271651,1_620,1_102754,256,1_778603749,1_6976,1773278160,1773278160,default
