snapshot_ts,stop_id,route_id,route_short_name,trip_id,vehicle_id,scheduled_arrival_ts,predicted_arrival_ts,status
1774310313,1_12170,1_100039,14,1_562519949,1_4392,1774310379,1774310397,default
1774310313,1_481,1_102576,C Line,1_774681579,1_6258,1774310220,1774310337,default
1774310313,1_481,1_100024,125,1_770790159,1_7059,1774310220,1774310351,default
1774310313,1_29217,1_100224,44,1_664046929,1_4551,1774309922,1774310362,default
1774310313,1_970,1_100459,218,1_694279329,1_6851,1774310266,1774310339,default
1774310313,1_30790,1_100230,50,1_785559479,1_3712,1774310261,1774310347,default
1774310313,1_80692,1_100045,150,1_694513309,1_6965,1774309863,1774310342,default
1774310313,1_320,40_592,592,40_923020,block_15105_schedBasedVehicle,1774311480,1774310352,default
1774310313,1_81205,1_100072,181,1_721481869,1_7191,1774310371,1774310348,default
1774310313,1_575,1_100001,1,1_562520019,1_4409,1774310460,1774310400,default
1774310313,1_575,1_102576,C Line,1_774682269,1_6259,1774310520,1774310448,default
1774310313,1_2850,1_100089,2,1_491928949,1_7104,1774310460,1774309961,default
1774310313,1_2850,1_100089,2,1_491928959,1_7975111,1774311120,1774311120,default
1774310313,1_46505,1_102619,F Line,1_694522129,1_6014,1774311060,1774310222,default
1774310313,1_46505,1_102619,F Line,1_694521709,1_7976229,1774310460,1774310460,default
1774310313,1_46505,1_102619,F Line,1_694522129,1_7976085,1774311060,1774311060,default
1774310313,1_1190,40_100239,550,40_597759269,40_9690,1774310612,1774310319,default
1774310313,1_57453,1_102719,161,1_664467849,1_7438,1774310460,1774310294,default
1774310313,1_10653,1_100252,62,1_721368339,1_7974610,1774310460,1774310272,default
1774310313,1_10653,1_100252,62,1_721368339,1_8039,1774310460,1774310346,default
1774310313,3_31002,40_560,560,40_3037020,40_9125,1774310545,1774310670,default
1774310313,1_11569,1_100002,10,1_675385229,1_4404,1774310154,1774310401,default
1774310313,1_11940,1_100039,14,1_562520069,1_4405,1774310419,1774310446,default
1774310313,1_52306,1_102619,F Line,1_656236699,1_7976226,1774310700,1774310700,default
1774310313,1_52306,1_102719,161,1_693753589,1_7976230,1774311300,1774311300,default
1774310313,1_52306,1_102619,F Line,1_694522049,1_7975998,1774311300,1774311300,default
1774310313,1_52306,1_102719,161,1_693754319,1_7976220,1774312020,1774312020,default
1774310313,1_40030,1_102574,40,1_761403719,1_8252,1774310351,1774310450,default
1774310313,1_39983,1_102736,H Line,1_694056379,1_6078,1774310460,1774310354,default
1774310313,1_59282,1_102717,165,1_664465499,1_7391,1774311180,1774309415,default
1774310313,1_23905,1_100214,372,1_694306659,1_6929,1774310092,1774310490,default
1774310313,1_60710,1_100512,A Line,1_721482809,1_6235,1774310236,1774310481,default
1774310313,1_58111,1_102619,F Line,1_694521259,1_6286,1774310434,1774310486,default
1774310313,1_25791,1_100214,372,1_694307129,1_6973,1774310481,1774310480,default
1774310313,1_620,40_515,515,40_15046097__KPOB-CS:223:1:Mon-Wed:1:25SEP:85043:123,40_91728,1774311600,1774309497,default
