hour_bucket,temperature_c,precipitation_mm,wind_speed_kmh,visibility_km,weather_code,is_raining
2026-03-06 00:00,7.6,0.0,12.7,,3,0
2026-03-06 01:00,7.4,0.1,12.6,,51,1
2026-03-06 02:00,7.6,0.4,13.4,,51,1
2026-03-06 03:00,7.5,0.4,15.3,,51,1
2026-03-06 04:00,7.5,0.2,16.9,,51,1
2026-03-06 05:00,7.6,0.2,15.1,,51,1
2026-03-06 06:00,7.7,0.1,15.3,,51,1
2026-03-06 07:00,7.7,0.0,14.1,,3,0
2026-03-06 08:00,7.7,0.0,13.5,,3,0
2026-03-06 09:00,8.0,0.1,15.1,,51,1
2026-03-06 10:00,8.6,0.1,17.3,,51,1
2026-03-06 11:00,9.4,0.1,14.8,,51,1
2026-03-06 12:00,9.9,0.1,18.1,,51,1
2026-03-06 13:00,10.1,0.1,18.8,,51,1
2026-03-06 14:00,10.6,0.2,19.6,,51,1
2026-03-06 15:00,10.4,0.3,20.5,,51,1
2026-03-06 16:00,9.9,0.5,22.3,,53,1
2026-03-06 17:00,9.6,0.5,22.0,,53,1
2026-03-06 18:00,9.7,0.8,20.9,,53,1
2026-03-06 19:00,9.6,0.4,20.6,,51,1
2026-03-06 20:00,9.6,0.3,21.2,,51,1
2026-03-06 21:00,9.4,0.7,20.3,,53,1
2026-03-06 22:00,9.5,0.5,20.0,,53,1
2026-03-06 23:00,9.6,0.0,18.0,,3,0
2026-03-07 00:00,9.7,0.0,17.5,,3,0
2026-03-07 01:00,9.7,0.0,16.7,,3,0
2026-03-07 02:00,9.8,0.0,15.3,,3,0
2026-03-07 03:00,9.6,0.0,15.6,,3,0
2026-03-07 04:00,9.6,0.0,16.3,,3,0
2026-03-07 05:00,9.8,0.1,14.1,,51,1
2026-03-07 06:00,9.9,0.0,15.3,,3,0
2026-03-07 07:00,9.8,0.0,16.6,,3,0
2026-03-07 08:00,9.6,0.0,18.0,,3,0
2026-03-07 09:00,9.9,0.0,18.2,,3,0
2026-03-07 10:00,10.1,0.0,18.9,,3,0
2026-03-07 11:00,10.7,0.0,19.0,,3,0
2026-03-07 12:00,12.0,0.0,21.8,,3,0
2026-03-07 13:00,12.1,0.0,21.7,,3,0
2026-03-07 14:00,12.6,0.0,23.4,,3,0
2026-03-07 15:00,12.8,0.0,23.3,,2,0
2026-03-07 16:00,12.9,0.0,22.4,,2,0
2026-03-07 17:00,12.2,0.0,20.9,,2,0
2026-03-07 18:00,11.7,0.0,20.9,,1,0
